gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091104,58,1,short,SINGLEBACK,3x1,left,10,85,Man,Heavy LB Defense,75.0,Cover-1,"SLANT, CROSS, FLAT, FLAT, GO",C,Short Left Pass,1
2022091104,149,1,short,SHOTGUN,3x1,right,10,25,Man,Heavy LB Defense,15.0,Cover-1,"SLANT, HITCH, CROSS, FLAT, CROSS",I,Short Right Pass,1
2022091104,580,1,short,SINGLEBACK,2x2,right,10,69,Zone,Heavy LB Defense,59.0,Cover-3,"GO, FLAT, GO, SCREEN",C,Singleback Balanced Short Pass,1
2022091802,56,1,short,SHOTGUN,3x1,right,10,35,Zone,5-2 Defense,75.0,Cover-3,"FLAT, GO, SLANT, FLAT, SCREEN",C,Short Right Pass,1
2022091802,750,1,short,SINGLEBACK,3x1,middle,10,79,Zone,4-1-6 Dime,31.0,Cover-3,"IN, POST, ANGLE, POST",C,Short Middle Pass,1
2022091802,774,1,short,SINGLEBACK,2x2,left,10,92,Zone,4-1-6 Dime,18.0,Cover-3,"HITCH, HITCH, FLAT, FLAT, HITCH",I,Singleback Balanced Short Pass,1
2022091802,967,1,deep,SINGLEBACK,2x2,left,10,52,Man,5-2 Defense,58.0,Cover-1,"OUT, FLAT, IN, HITCH",C,First Down Play Action Deep Pass,1
2022092504,110,1,deep,SINGLEBACK,3x1,left,10,59,Zone,5-2 Defense,51.0,Cover-3,"CROSS, POST, FLAT, CROSS, CROSS",C,First Down Play Action Deep Pass,1
2022092504,375,1,short,SINGLEBACK,3x1,left,10,56,Zone,5-2 Defense,54.0,Cover-2,"CORNER, FLAT, POST",C,Short Left Pass,1
2022092504,733,1,short,EMPTY,3x2,left,10,56,Zone,3-4 Defense,54.0,Quarters,"POST, POST, OUT, HITCH, IN",I,Short Left Pass,1
2022092504,846,1,short,PISTOL,2x1,right,10,70,Zone,Interior DL Heavy,40.0,Cover-6 Right,"OUT, GO, OUT, SCREEN, FLAT",I,Pistol Quick Pass,1
2022100205,560,1,deep,SINGLEBACK,2x2,left,10,42,Man,3-4 Defense,32.0,Cover-1,"GO, ANGLE, GO, CROSS, IN",C,First Down Play Action Deep Pass,1
2022100205,796,1,short,SHOTGUN,2x2,right,10,82,Zone,4-3 Defense,72.0,Quarters,"SCREEN, FLAT, GO",C,Short Right Pass,1
2022100205,1018,1,short,SHOTGUN,3x1,middle,10,58,Zone,5-2 Defense,48.0,Cover-6 Right,"FLAT, POST, HITCH, FLAT, HITCH",C,Short Middle Pass,1
2022100905,371,1,short,SINGLEBACK,2x2,right,10,85,Zone,3-4 Defense,75.0,Cover-6 Right,"POST, CROSS, CROSS",C,Singleback Balanced Short Pass,1
2022100905,484,1,short,SINGLEBACK,3x1,left,10,28,Zone,3-4 Defense,18.0,Quarters,"GO, GO, GO, GO, OUT",IN,Short Left Pass,1
2022102303,148,1,short,SINGLEBACK,3x1,left,10,49,Zone,5-2 Defense,61.0,Cover-3,"GO, FLAT, IN, POST, CROSS",C,Midfield Short Pass,1
2022102303,445,1,short,SHOTGUN,2x2,left,10,62,Zone,5-2 Defense,48.0,Cover-3 Seam,"GO, OUT, OUT, CROSS, IN",C,Short Left Pass,1
2022102303,474,1,short,SHOTGUN,2x2,right,10,73,Zone,5-2 Defense,37.0,Cover-3,"SCREEN, GO, GO, FLAT",C,Short Right Pass,1
2022103003,56,1,short,SHOTGUN,2x2,right,10,35,Zone,3-4 Defense,75.0,Cover-3,"POST, POST, FLAT, CROSS, HITCH",C,Short Right Pass,1
2022103003,951,1,deep,SINGLEBACK,2x2,left,10,35,Man,5-2 Defense,75.0,Cover-1,"IN, FLAT, CROSS, CROSS",I,First Down Play Action Deep Pass,1
2022110603,153,1,short,SINGLEBACK,2x2,left,10,46,Zone,3-4 Defense,36.0,Cover-3 Seam,"CROSS, CROSS, FLAT, HITCH",C,Midfield Short Pass,1
2022091802,108,2,short,EMPTY,3x2,right,12,33,Zone,5-2 Defense,77.0,Cover-3,"IN, IN, OUT, GO, CROSS",I,Short Right Pass,1
2022091802,368,2,deep,SHOTGUN,3x1,left,9,87,Zone,5-2 Defense,23.0,Quarters,"CROSS, GO, HITCH, WHEEL, IN",I,Shotgun Isolation Deep Attack,1
2022092504,84,2,deep,SINGLEBACK,2x1,middle,4,36,Zone,5-2 Defense,74.0,Cover-3,"FLAT, IN, POST",C,Deep Middle Pass,1
2022092504,155,2,short,SINGLEBACK,2x2,left,10,76,Zone,5-2 Defense,34.0,Quarters,"POST, FLAT, HITCH",C,Singleback Balanced Short Pass,1
2022092504,755,2,short,SHOTGUN,2x2,left,10,56,Zone,3-4 Defense,54.0,Cover 6-Left,"OUT, GO, HITCH, FLAT, HITCH",C,Short Left Pass,1
2022100205,464,2,deep,EMPTY,3x2,left,5,79,Man,3-4 Defense,69.0,Cover-1,"GO, SCREEN, GO, POST, GO",I,Spread Deep Attack from Empty 3x2 Alignment,1
2022100905,77,2,short,SINGLEBACK,3x1,left,7,82,Man,3-4 Defense,72.0,Cover-1,"CORNER, CROSS, FLAT, OUT",C,Short Left Pass,1
2022100905,143,2,short,SHOTGUN,3x1,left,6,70,Zone,3-4 Defense,60.0,Cover-3,"SCREEN, FLAT, FLAT, FLAT",C,Short Left Pass,1
