gameId,playId,down,pass_length,offenseFormation,receiverAlignment,pass_location,yardsToGo,absoluteYardlineNumber,pff_manZone,defenseFormation,yardline_100,pff_passCoverage,routeCombo,passResult,strategy,quarter
2022091109,316,1,deep,SINGLEBACK,2x2,left,10,36,Zone,Heavy LB Defense,74.0,Cover-3,"FLAT, CORNER, OUT, OUT",I,First Down Play Action Deep Pass,1
2022091109,383,1,short,SINGLEBACK,3x1,left,10,54,Zone,Heavy LB Defense,56.0,Cover-3,"CROSS, POST, ANGLE, HITCH, SCREEN",C,Short Left Pass,1
2022091109,721,1,deep,SHOTGUN,3x1,right,10,39,Zone,Heavy DE Front,71.0,Cover-2,"GO, GO, GO, FLAT, GO",I,Midfield Deep Shotgun Attack,1
2022091802,174,1,short,SHOTGUN,2x2,left,10,78,Zone,5-2 Defense,68.0,Cover-2,"FLAT, SLANT, SLANT, OUT",C,Short Left Pass,1
2022091802,455,1,short,SINGLEBACK,3x1,right,10,94,Man,5-2 Defense,84.0,Cover-1,"GO, CROSS, CROSS",I,Short Right Pass,1
2022092508,82,1,short,SHOTGUN,2x2,left,10,70,Zone,Heavy LB Defense,60.0,Cover-3,"SLANT, HITCH, HITCH, FLAT, IN",I,Short Left Pass,1
2022092508,601,1,deep,SINGLEBACK,3x1,right,10,84,Zone,Heavy LB Defense,74.0,Quarters,"HITCH, CORNER, CROSS, FLAT, CROSS",C,First Down Play Action Deep Pass,1
2022100204,265,1,short,SHOTGUN,2x2,middle,10,47,Man,5-2 Defense,63.0,Cover-1,"OUT, FLAT, SLANT, ANGLE, OUT",C,Short Middle Pass,1
2022100909,755,1,deep,SHOTGUN,3x1,right,10,85,Zone,Heavy DE Front,75.0,Cover-3,"CROSS, IN, POST, OUT, HITCH",C,Hi-Lo Route Concept,1
2022100909,824,1,short,SHOTGUN,3x1,middle,10,42,Zone,5-2 Defense,32.0,Cover-3,"HITCH, GO, OUT, GO, CROSS",I,Short Middle Pass,1
2022103009,152,1,short,SINGLEBACK,2x2,left,10,27,Zone,Big Nickel,83.0,Cover-3,"IN, GO, CROSS, FLAT, GO",C,Singleback Balanced Short Pass,1
2022103009,361,1,short,SHOTGUN,2x2,left,10,40,Zone,Big Nickel,70.0,Cover-3 Seam,"CROSS, IN, GO, FLAT, GO",C,Short Left Pass,1
2022103009,462,1,short,SINGLEBACK,3x1,left,10,69,Man,Big Nickel,41.0,Cover-1,"GO, FLAT, CROSS, CORNER, FLAT",I,Short Left Pass,1
2022091109,433,2,deep,SHOTGUN,2x1,right,7,80,Zone,Heavy LB Defense,30.0,Cover-3 Seam,"OUT, CROSS, POST, WHEEL, IN",C,Deep Right Isolation Pass,1
2022091109,483,2,short,SHOTGUN,2x2,right,3,107,Zone,Heavy LB Defense,3.0,Cover-3,"CROSS, FLAT, HITCH, POST",C,Short Right Pass,1
2022091109,743,2,short,SHOTGUN,3x1,left,10,39,Zone,Heavy DE Front,71.0,Cover-3,"SCREEN, SLANT, FLAT, FLAT, GO",C,Short Left Pass,1
2022091109,792,2,short,SHOTGUN,3x1,middle,20,40,Zone,Heavy DE Front,70.0,Cover-2,"SCREEN, HITCH, GO, IN, OUT",C,Short Middle Pass,1
2022092508,104,2,short,EMPTY,3x2,middle,10,70,Zone,Heavy LB Defense,60.0,Cover-3,"GO, HITCH, GO, SCREEN, IN",C,Short Middle Pass,1
2022100204,289,2,short,SHOTGUN,3x1,right,7,50,Zone,5-2 Defense,60.0,Quarters,"SLANT, OUT, SCREEN, OUT",C,Short Right Pass,1
2022100909,507,2,short,SHOTGUN,3x1,middle,17,98,Zone,5-2 Defense,88.0,Quarters,"FLAT, IN, HITCH, GO, HITCH",I,Short Middle Pass,1
